id,省名,县名,年份,年末总人口,乡村人口,人均GDP,农村居民人均可支配收入,一般公共预算收入,普通中学学校数,小学专任教师数,医院卫生院床位数,每千人医院卫生院床位数,卫生技术人员数,卫生厕所普及率,社会福利收养性单位数,床位数,每千人社会福利收养性床位数,老龄化率,城镇化率,路网密度,NVDI,WET,LST,NDBSI,RSEI_mean,RSEI_stdDev,优良面积占比,elevation_mean,slope_mean,教育POI密度,医疗POI密度,养老POI密度,商业POI密度,文体POI密度,交通POI密度,教育POI基尼系数,医疗POI基尼系数,养老POI基尼系数,商业POI基尼系数,文体POI基尼系数,交通POI基尼系数,教育POI核密度峰值,医疗POI核密度峰值,养老POI核密度峰值,商业POI核密度峰值,文体POI核密度峰值,交通POI核密度峰值,POI综合覆盖度
520625.0,贵州省,*印江县,2024.0,28.11,,53543.0,14659.0,3.43,22.0,1763.0,1782.0,6.33938100320171,,0.9875,26.0,734.0,0.261117040199217,,,0.8078,0.790648988084173,-0.0222293282189874,33.3459710997275,-0.250168884583406,0.730329585492034,0.0964142767291106,0.909985823477973,919.897755650467,21.9726779339883,0.0182926829268293,0.101626016260163,0.00152439024390244,0.0797764227642276,0.0477642276422764,0.00660569105691057,0.2596,0.3069,0.0,0.2109,0.3373,0.1546,139.47135572,94.4786182,14.26879284,219.1982657,65.35149574,133.9134563,0.366666666666667
520626.0,贵州省,德江县,2024.0,38.2,,47435.0,14737.0,5.46,38.0,2807.0,3893.0,10.1910994764398,,0.9947,13.0,1048.0,0.27434554973822,,,0.7598,0.750612155961286,-0.0336896108181095,33.2236737384278,-0.2145477332252,0.705857773350386,0.0984800245375438,0.869864303684253,827.825745751276,19.6314110693499,0.0251207729468599,0.0932367149758454,0.000966183574879227,0.0710144927536232,0.042512077294686,0.0115942028985507,0.2845,0.2762,,0.3394,0.2222,0.249,56.81007401,142.37312794,,88.81276239,218.9727758,48.66190416,0.355555555555556
520627.0,贵州省,*沿河县,2024.0,40.85,,39123.0,14647.0,4.07,32.0,3153.0,2803.0,6.86168910648715,,0.9848,10.0,1486.0,0.363769889840881,,,0.3255,0.757939103550762,-0.0311956389035555,34.1965080199243,-0.220583574526912,0.72775104939961,0.0987264978793201,0.895650978413952,748.371805187412,21.7295224129195,0.0201288244766506,0.0583735909822866,0.0,0.0543478260869565,0.036231884057971,0.0527375201288245,0.3653,0.3579,,0.3172,0.3663,0.3203,18.21920733,38.31503107,,53.34392721,35.50477101,489.8081329,0.795555555555556
520628.0,贵州省,*松桃县,2024.0,44.01,,49645.0,14754.0,6.1,41.0,3273.0,2888.0,6.56214496705294,,0.9865,18.0,1037.0,0.235628266303113,,,0.7697,0.766265904692546,-0.023026785701755,32.7300519000537,-0.240043758714848,0.705039633607928,0.0986219049013946,0.877253207764719,707.490021116436,18.5965866795991,0.0230849947534103,0.061909758656873,0.00174886323889472,0.0458202168590416,0.0545645330535152,0.0227352221056313,0.3758,0.344,0.1066,0.4137,0.4053,0.1642,13.50823238,43.71870196,67.79796525,31.52638122,26.62429163,210.4352478,0.551111111111111
522324.0,贵州省,晴隆县,2024.0,23.03,,43709.0,13609.0,4.01,21.0,1753.0,1777.0,7.71602257924446,,0.9236,2.0,230.0,0.0998697351280938,,,1.4465,0.767943800092726,-0.0278121413382001,28.6394811434579,-0.237981736198238,0.65396511989305,0.102128947501675,0.776395374717801,1229.11936847928,20.5919680752066,0.0381679389312977,0.0580152671755725,0.00152671755725191,0.112213740458015,0.0389312977099237,0.120610687022901,0.3914,0.3059,,0.3511,0.2713,0.3394,42.95504347,110.89712452,,145.17333989,250.7456438,234.3216742,0.295454545454545
522325.0,贵州省,贞丰县,2024.0,29.9,,51687.0,14990.0,7.83,14.0,1826.0,2526.0,8.44816053511706,,0.9884,2.0,262.0,0.0876254180602007,,,2.4821,0.724444122498616,-0.0464128822468537,32.4544879789187,-0.183158718605976,0.661194962689957,0.120006098577748,0.738829531671264,962.230048216669,19.3793518900113,0.0351225977468522,0.0801855533465871,0.00132538104705103,0.0941020543406229,0.0119284294234592,0.0397614314115308,0.3597,0.3411,,0.3456,0.2848,0.2306,59.17938013,120.53086995,,129.89732953,33.28961588,64.12198522,0.369266055045872
522327.0,贵州省,册亨县,2024.0,18.47,,48226.0,13633.0,2.26,13.0,1148.0,1791.0,9.69680563075257,,0.9862,1.0,200.0,0.108283703302653,,,0.8507,0.801385143265209,-0.0177404941471596,31.1332028635985,-0.271590590936658,0.709413436872127,0.0912699405381762,0.899234124788459,854.227029590248,23.5246338026612,0.0134770889487871,0.0300346553715826,0.0,0.0635348479014247,0.0207932229495572,0.0154023873700424,0.3109,0.2828,,0.2699,0.3097,0.1953,41.67709419,65.02143273,,203.84117703,58.60246836,92.68497838,0.309302325581395
522328.0,贵州省,安龙县,2024.0,37.25,,41349.0,14618.0,6.75,26.0,2317.0,2702.0,7.25369127516778,,0.9907,4.0,343.0,0.0920805369127517,,,1.0382,0.745696762516411,-0.0350464148029923,28.632719984695,-0.210341113350543,0.62539373967451,0.117934282655638,0.69004773356607,1280.63801098254,18.9403733895699,0.0153637596023498,0.0903750564844103,0.000451875282422052,0.0732037957523723,0.0582919114324446,0.0429281518300949,0.3665,0.3711,,0.3241,0.3204,0.3357,33.24283373,61.91184459,,104.33994748,78.80047299,54.61639396,0.325112107623318
522622.0,贵州省,黄平县,2024.0,23.79,,31757.0,14532.0,3.53,12.0,1239.0,1621.0,6.81378730559058,,0.9433,4.0,334.0,0.140395124001681,,,1.1221,0.766183188420998,-0.0285314851951311,34.3061382869397,-0.229145879340205,0.735654659997936,0.101781538205093,0.903123474255114,891.044946311804,17.2381712849027,0.0191616766467066,0.0862275449101796,0.00359281437125748,0.0982035928143713,0.00838323353293413,0.0323353293413174,0.2976,0.3591,0.1694,0.3795,0.3269,0.3433,20.29322717,84.13988725,15.54755143,105.42597459,25.70276432,63.42701378,0.463963963963964
522623.0,贵州省,施秉县,2024.0,12.7,,39654.0,15830.0,1.96,5.0,723.0,767.0,6.03937007874016,,0.9793,1.0,120.0,0.094488188976378,,,0.7849,0.777537505933398,-0.0270619638633227,33.3342408239571,-0.23097508766406,0.730126183750728,0.102300483059255,0.899257119560214,872.002615879997,18.7522715388123,0.0189295039164491,0.0430809399477807,0.00130548302872063,0.109660574412533,0.0248041775456919,0.0430809399477807,0.2378,0.2349,,0.1939,0.324,0.321,116.78858908,170.63115543,,358.56981335,71.68830733,1053.261408,0.294520547945205
