name,Year,RSEI_mean,RSEI_stdDev,NDVI_mean,WET_mean,NDBSI_mean,LST_mean,Good_Ratio_mean,Elevation_mean,Slope_mean
镇远县,2020,,,,,,,,787.9616401761449,19.782300543037422
瓮安县,2020,0.7403492029660185,0.25062121233204865,0.73698957724526,-0.024636385908556647,-0.2346732456967312,301.32243111647784,0.7558415252195491,1055.5237536176191,16.211191849906733
观山湖区,2020,0.5831471582524017,0.35867638819861497,0.6351621272889003,-0.03722886076944894,-0.17828604465571735,306.6362403774858,0.5708500204658433,1275.7640161492313,12.600648518124592
正安县,2020,0.7941138784148818,0.18605138895093096,0.7715376017700377,-0.020496915641912927,-0.2588161618003668,299.776045740957,0.8516461266103243,1003.7931708879373,20.48920201425239
紫云苗族布依族自治县,2020,0.7825705658327996,0.22453745348816287,0.7870051100967688,-0.02551916055364978,-0.25261561173496916,303.6137779895897,0.8309986113437646,1153.2833360183015,23.590776308190318
纳雍县,2020,0.5882840347641529,0.3188230586506533,0.6966437708866401,-0.044788253272242354,-0.17357895321342987,301.1460943774085,0.5399017318759153,1691.0673086189433,20.4641848862608
思南县,2020,0.7206101169251837,0.2307659876077812,0.7339871546697809,-0.025457842188520326,-0.22885246150860644,303.72506322710836,0.7312650136088643,710.3531512391611,18.089235885916086
望谟县,2020,0.8069983756755865,0.23391941058741098,0.7921902339584712,-0.0193940107615339,-0.26570803865427495,305.71127033817476,0.8346927111136798,868.3845538195353,24.56296874570865
岑巩县,2020,,,,,,,,667.6229258367739,18.022526751628234
独山县,2020,0.811418738015425,0.20936857705599354,0.8027960988918283,-0.021637392240709413,-0.2682306529109257,304.16340901177404,0.8538855448839898,985.2025730215153,17.98209517234648
开阳县,2020,0.7328412680739632,0.2629165491964932,0.7360701500871675,-0.02411772989998944,-0.23490288146375593,303.4910147251428,0.7377528501325669,1070.932390231896,17.183037305490295
道真仡佬族苗族自治县,2020,,,,,,,,1025.2530747198139,21.496693814494854
威宁彝族回族苗族自治县,2020,0.44287336194250265,0.307383794700442,0.6171249438772468,-0.05673554515805909,-0.12478620762384718,304.8247974830692,0.3435220963954967,2165.3990763232105,16.80985299715161
印江土家族苗族自治县,2020,0.7707394092883033,0.21507863169941974,0.7704664318495147,-0.020518231172817588,-0.24749101200843374,304.55739582067184,0.8194622090431983,919.8335693591553,21.97548504701651
册亨县,2020,0.8106132443762787,0.2509505858572782,0.7976570035883599,-0.01522011885924673,-0.2782421593264713,306.32967294330757,0.8205622232235065,854.2598245809307,23.528658482114245
天柱县,2020,0.8410586286769115,0.20307988923325224,0.7942274130623199,-0.012944709266260134,-0.27529948927965714,306.97649821606257,0.8897818109186764,545.6569524161469,17.42753638746293
