name,Year,RSEI_mean,RSEI_stdDev,NDVI_mean,WET_mean,NDBSI_mean,LST_mean,Good_Ratio_mean,Elevation_mean,Slope_mean
柯桥区,2020,0.5591039213682153,0.2992774297986326,0.6539255982499321,-0.029021042117125962,-0.1866088251010536,309.05298631983896,0.5592984522834674,117.4164868849219,12.469983382169325
金东区,2020,0.5064234467385718,0.2974330936214178,0.6379953802853018,-0.02827186444932083,-0.18587273282666433,313.228497009595,0.42727350259970226,138.12515846207086,9.575042872372247
衢江区,2020,0.6379903865792221,0.2616460104288432,0.7391738882745377,-0.025684958645963745,-0.2239729099167105,307.9529855527695,0.6507119810858667,357.4096181226172,17.70011869515172
普陀区,2020,0.5916607235211394,0.3155135557790211,0.6238795709855878,-0.02183607619304292,-0.19566440195473822,307.3240304916488,0.5734432088439936,39.682604745298306,9.332512986232775
黄岩区,2020,0.635126794963916,0.2893399699351356,0.7191329449195316,-0.019091274310871355,-0.23648558114991275,310.9772886831664,0.6698078218672872,251.58909045206735,16.967995399425053
青田县,2020,0.8140056393767888,0.20395549043231762,0.7877770136414723,-0.004820005938944582,-0.2880473967459819,304.936190016553,0.8810323357828235,463.609350131107,24.7382400864326
西湖区,2020,0.4702193737919732,0.2808174724310095,0.5643393429716026,-0.026332785780506306,-0.16082430316251783,311.77418087528883,0.4036397987244559,51.70292792608754,7.969624640470583
北仑区,2020,0.48745868207971443,0.3373479170104639,0.6000303504442778,-0.033138051843423506,-0.1678730982570481,311.87398211923096,0.4586847884197514,55.74803071681343,9.331207327659266
瓯海区,2020,0.5563606516237348,0.29061534956176477,0.6488838297539992,-0.022631963026709428,-0.19817824915584767,311.1643569790946,0.5663672328949847,233.28894805509307,15.162431099750336
嘉善县,2020,0.4552836449145007,0.28488402529915813,0.4926301039498368,-0.027408032230843232,-0.1422470168231662,309.48077507377354,0.3316715686638073,5.069880242688383,2.353879870146889
德清县,2020,0.4561017513728628,0.23507002328553545,0.5682727500466802,-0.032300863422103636,-0.14766523731878559,310.7222554051286,0.3266485429266702,70.0218617475923,8.155645642326881
上虞区,2020,0.5622082120233235,0.2963982015380959,0.6553540135022824,-0.02657670558356017,-0.19475481547261345,309.57446310302686,0.5369991859047769,80.61654194742927,9.58290698795622
武义县,2020,0.7106526383653144,0.2562627189997288,0.7661232847554169,-0.014271928465580622,-0.25728750386417043,308.6787594846575,0.752571500825408,388.5584911738101,19.156405810446362
常山县,2020,0.6476496312184341,0.2686195065932696,0.7239901351373862,-0.01965493864950864,-0.2303034293158901,308.8362764600293,0.6504511156505969,269.32872357852335,16.97434802772002
岱山县,2020,0.5510542229223316,0.32620433829651885,0.5953801778461069,-0.027770986382745447,-0.17292148024431753,306.95460392416066,0.5251070676956677,27.25248176902988,8.194669456630091
路桥区,2020,0.3131312896306221,0.2883329109879252,0.473664739929674,-0.043840560017479324,-0.11215334758073962,315.98941255793017,0.20736586319253608,11.740394917603162,3.3719266165461472
缙云县,2020,0.7542050471516377,0.22944376701618532,0.7861553496539,-0.011928534936578679,-0.26999730284478257,306.92368335792145,0.8125732168976042,509.83135745063106,21.046264234984765
滨江区,2020,0.28322441950888194,0.23494202124650662,0.38659893695623326,-0.036188273116900455,-0.0829892841946883,314.03696900210423,0.11781388046071324,12.954347695614606,3.3916639043083854
镇海区,2020,0.36281770888408027,0.29846483254395495,0.4856664700496536,-0.04063176635065289,-0.1115912182852083,312.16668826978224,0.24171095798687264,13.801715781589179,3.782756850153927
洞头区,2020,0.525391397331365,0.29999106205154963,0.5836247813464343,-0.02337589242931758,-0.18003626412431945,309.9684722715136,0.4879061709754844,20.762270809692986,4.624843383288209
海盐县,2020,0.4276257873610164,0.2772792705906318,0.5164086205514363,-0.03353034559463205,-0.13966126960285147,310.3809891372381,0.290462824384848,3.991104577604769,1.36695247219275
